,age_group,gender,education,total_fam_income,marital_status,nicotine,alcohol,marijuana,cocaine,heroin,hallucinogen,inhalant,methamphetamine,pain_reliever,tranquilizer,stimulant,psychotherapeutic,think,plan,attempt
4,1,0,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
6,1,0,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
11,1,0,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
12,1,1,5,4,4,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
14,1,0,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
15,1,1,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,1,0,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
18,1,1,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,1,0,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1,0,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1,1,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,1,1,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,1,1,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
42,1,1,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1,1,5,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
47,1,1,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,1,1,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,1,0,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,1,0,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
55,1,0,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,1,0,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,1,1,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,1,1,5,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,1,0,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
69,1,0,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
70,1,0,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
73,1,0,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
75,1,1,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
77,1,0,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,1,1,5,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,1,1,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
86,1,0,5,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,1,0,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
91,1,0,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,1,0,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
97,1,0,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,1,0,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
105,1,0,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,1,0,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,1,0,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
111,1,0,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,1,0,5,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,1,0,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
119,1,1,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,1,0,5,3,4,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0
125,1,0,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,1,1,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
128,1,0,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
132,1,1,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,1,0,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
137,1,0,5,6,4,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1
142,1,0,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
144,1,1,5,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
147,1,0,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,1,0,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
151,1,1,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
